folderDirectory,filename,start_slice,end_slice,numSlices,datasetName,protocolName,systemModel,systemFieldStrength_T,receiverChannels,institutionName,sequence_type,encodeX,encodeY,reconX,reconY,split
/media/ssd2/M4Raw/multicoil_train_flip/,2022090201_T201.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062705_FLAIR02.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061103_T102.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062618_FLAIR02.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061004_FLAIR01.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061210_T101.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061005_T101.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061217_T101.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022092803_T202.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062503_T102.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022092806_FLAIR02.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061001_T202.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062404_FLAIR02.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062705_T201.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062706_T202.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022070602_T202.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022091509_T103.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022092004_T202.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062608_T203.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022091404_T202.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022062505_T201.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061407_FLAIR01.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022091507_T101.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022090205_T101.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022090906_T201.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022061405_T201.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022091501_T202.h5,0,18,18,m4raw,,,,,,,,,,,train
/media/ssd2/M4Raw/multicoil_train_flip/,2022090905_FLAIR02.h5,0,18,18,m4raw,,,,,,,,,,,train
