folderDirectory,filename,start_slice,end_slice,protocolName,systemModel,systemFieldStrength_T,receiverChannels,institutionName,sequence_type,encodeX,encodeY,reconX,reconY,numSlices,datasetName
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_201_6002953.h5,0,12,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,12,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_201_6002963.h5,0,14,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,14,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_201_6003019.h5,0,16,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_200_6002428.h5,0,14,AXFLAIR,Skyra,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,14,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_201_6002993.h5,0,16,AXFLAIR,Skyra,2.8936,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_200_6002646.h5,0,16,AXFLAIR,Skyra,2.8936,20,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_201_6002878.h5,0,16,AXFLAIR,Skyra,2.8936,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXFLAIR_200_6002600.h5,0,16,AXFLAIR,Skyra,2.8936,16,NYU LANGONE CBI,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_206_2060094.h5,0,16,AXT1,Aera,1.494,20,NYU,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_202_2020374.h5,0,14,AXT1,Aera,1.494,20,TH,TurboSpinEcho,640,320,320,320,14,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_202_2020570.h5,0,12,AXT1,Aera,1.494,16,TH,TurboSpinEcho,640,320,320,320,12,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_202_2020098.h5,0,12,AXT1,Aera,1.494,16,TH,TurboSpinEcho,640,320,320,320,12,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_202_2020496.h5,0,16,AXT1,Aera,1.494,20,TH,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_202_2020052.h5,0,16,AXT1,Aera,1.494,20,TH,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_202_2020334.h5,0,16,AXT1,Aera,1.494,20,TH,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_202_2020256.h5,0,16,AXT1,Aera,1.494,16,TH,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1_206_6000204.h5,0,16,AXT1,Aera,1.494,16,NYU LANGONE LOC,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_205_6000095.h5,0,16,AXT1POST,Aera,1.494,16,NYU LANGONE 32ND ST,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_202_6000364.h5,0,16,AXT1POST,Aera,1.494,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_205_6000145.h5,0,16,AXT1POST,Aera,1.494,16,NYU LANGONE 32ND ST,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_202_6000266.h5,0,16,AXT1POST,Aera,1.494,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_202_6000471.h5,0,14,AXT1POST,Aera,1.494,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,14,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_202_6000519.h5,0,16,AXT1POST,Aera,1.494,20,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_206_6000213.h5,0,14,AXT1POST,Aera,1.494,16,NYU LANGONE LOC,TurboSpinEcho,640,320,320,320,14,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_202_6000395.h5,0,16,AXT1POST,Aera,1.494,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_202_6000320.h5,0,16,AXT1POST,Aera,1.494,16,TH RADIOLOGY,TurboSpinEcho,640,320,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_207_2070374.h5,0,16,AXT1POST,Avanto,1.494,4,NYU,TurboSpinEcho,640,322,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_208_2080443.h5,0,16,AXT1POST,Avanto,1.494,6,NYU,TurboSpinEcho,640,322,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_207_2070099.h5,0,16,AXT1POST,Avanto,1.494,4,NYU,TurboSpinEcho,640,322,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_207_2070772.h5,0,16,AXT1POST,Avanto,1.494,4,NYU,TurboSpinEcho,640,322,320,320,16,fastmri_brain
/media/ssd2/fastMRIdata/brain/multicoil_train/,file_brain_AXT1POST_208_2080568.h5,0,14,AXT1POST,Avanto,1.494,4,NYU,TurboSpinEcho,640,322,320,320,14,fastmri_brain
